"Sites","X","Y"
1,365.8,181.2
2,349.6,185
3,333.4,185.4
4,373.86,161.43
5,380.25,179.5
6,354.4,168.6
7,340.6,171.8
8,323.5,170.5
9,314.8,184.8
10,353.86,117.86
11,341,98.167
12,358.4,93.2
13,343.43,74.143
14,356,60
15,366,71.8
16,373.75,106.5
17,373.67,126
18,292.6,117
19,313.5,115.25
20,331.83,116.67
21,327,61.333
22,325.4,80.8
23,302.5,67.167
24,290.83,90.833
25,288.5,152.33
26,286.4,175.8
27,262.6,146
28,272.71,128.71
29,303.6,168.6
30,312.86,152.43
31,320,98
32,299.4,137.6
33,333.2,155.4
34,318.4,132.8
35,333.5,136.83
36,353.57,144.86
37,369.5,144.75
38,386.4,143.6
39,365.8,48.8
40,345.86,49.286
41,331.25,46.75
42,313.17,45.167
43,289.67,48.333
44,269,48.8
45,256.5,32.5
46,280.8,26.8
47,293,9.75
48,305.67,27.5
49,318.4,12
50,331.29,30.286
51,339.25,16.25
52,352.8,30.4
53,276.83,69.667
54,250,62.833
55,265.5,84.667
56,272.8,104.6
57,250,106.33
58,240,85
59,236.14,129
60,232.4,149.2
61,211.4,120.8
62,225.2,104.4
63,172.4,118
64,191.8,124.4
65,208.33,138.5
66,192.4,151.8
67,178.57,161.86
68,178.5,139.5
69,163.8,149.4
70,158.83,132.17
71,184.5,176.25
72,201.17,169.33
73,209.25,154.75
74,166.4,176.2
75,159,163.4
76,154.6,111.2
77,147.33,177.17
78,145.71,154
79,141,128.14
80,140.75,106.5
81,128.86,169.71
82,115.2,155.6
83,97,156
84,87.25,137.25
85,108,134.5
86,128.17,146.67
87,122.75,127.5
88,127.25,112
89,137.4,188
90,116.2,186.6
91,109,173.83
92,93.5,172.25
93,92,186.17
94,75.2,168.8
95,66.5,188
96,43.75,194.25
97,25.2,209
