"TaxonName","Taxon","TaxCode"
"Arisarum vulgare","Arvu","sp1"
"Alisma plantago","Alpl","sp2"
"Damasonium alisma","Daal","sp3"
"Asphodelus aetivus","Asae","sp4"
"Narcissus tazetta","Nata","sp5"
"Narcissus elegans","Nael","sp6"
"Drimia numidica","Drnu","sp7"
"Scilla autumnalis","Scau","sp8"
"Juncus maritimus","Juma","sp9"
"Juncus acutus","Juac","sp10"
"Bolboschoenus maritimus","Boma","sp11"
"Schoenoplectus litoralis","Scli","sp12"
"Eleocharis uniglumis","Elun","sp13"
"Cynosurus polybracteatus","Cypo","sp14"
"Avena fatua","Avfa","sp15"
"Phalaris coerulescens","Phco","sp16"
"Hordeum marinum","Homa","sp17"
"Lolium rigidum","Lori","sp18"
"Lolium multiflorum","Lomu","sp19"
"Cynodon dactylon","Cyda","sp20"
"Aeluropus littoralis","Aeli","sp21"
"Crypsis alopecuroides","Cral","sp22"
"Phragmites australis","Phau","sp23"
"Atriplex prostrata","Atpr","sp24"
"Halimione portulacoides","Hapo","sp25"
"Sarcocornia fruticosa","Safr","sp26"
"Arthrocnemum macrostachyum","Arma","sp27"
"Beta vulgaris","Bevu","sp28"
"Rumex bucephalophorus","Rubu","sp29"
"Centaurium spicatum","Cesp","sp30"
"Borago officinalis","Boof","sp31"
"Mentha pulegium","Mepu","sp32"
"Stachys marrubiifolia","Stma","sp33"
"Plantago coronopus","Plco","sp34"
"Cressa cretica","Crcr","sp35"
"Convolvulus arvensis","Coar","sp36"
"Convolvulus tricolor","Cotr","sp37"
"Carlina racemosa","Cara","sp38"
"Carlina lanata","Cala","sp39"
"Galactites mutabilis","Gamu","sp40"
"Scolymus hispanicus","Schi","sp41"
"Cichorium intybus","Ciin","sp42"
"Picris echioides","Piec","sp43"
"Leontodon tuberosus","Letu","sp44"
"Sonchus oleraceus","Sool","sp45"
"Chamaemelum fuscatum","Chfu","sp46"
"Dittrichia graveolens","Digr","sp47"
"Eryngium pusillum","Erpu","sp48"
"Ridolfia segetum","Rise","sp49"
"Ammi visnaga","Amvi","sp50"
"Lythrum tribracteatum","Lytr","sp51"
"Diplotaxis erucoides","Dier","sp52"
"Chrozophora tinctoria","Chti","sp53"
"Medicago intertexta","Mein","sp54"
"Trifolium squamosum","Trsq","sp55"
"Hedysarum coronarium","Heco","sp56"
